,序号,旅行社中文名称,地址,许可证编号,固定电话,传真号码,邮政编码,经度,纬度
273,274,大英死海康养旅行社有限公司,大英县新城区中海大道888号第一层,L-SC-100170,0825-6169189,0825-6169199,629000,33.307605,103.925587
274,275,峨眉山盛景旅行社有限责任公司,四川省乐山市峨眉山市峨眉山市旅博大道99号1幢2层41号,L-SC-100166,8336154463,8336154463,614000,29.597641,103.521643
275,276,四川乐程国际旅行社有限责任公司,四川省泸州市江阳区建安路1号1号楼1212号,L-SC-100167,0830-6110902,0830-6110902,646000,30.602118,105.237316
276,277,九寨沟县怿嘉旅行社有限责任公司,九寨沟县漳扎镇牙扎村,L-SC-100165,0837-8190008,0837-8190008,624000,29.594769,103.519410
277,278,峨眉山行愿无尽旅行社有限公司,四川省乐山市峨眉山市名山路东段269号1幢10—1号,L-SC-100164,8335532778,8335533977,614000,28.847374,105.433468
278,279,遂宁智行远海旅行社有限公司,四川省遂宁市河东新区五彩缤纷路1018号鼎盛国际银座公寓写字楼商业第16层1号,L-SC-100163,0825-2253355,0825-2253355,629000,29.595862,103.517488
279,280,四川省时代辉煌旅游有限公司,成都市青羊区鼓楼南街117号1栋11楼1号、6号,L-SC-A00892,028-85594711,028-86114589,610000,30.505819,105.581072
280,281,四川遂乐国际旅行社有限公司,四川省遂宁市船山区凯旋中路173号、175号,L-SC-100156,0825-3113988,0825-3116088,629000,30.662010,104.072661
281,282,峨眉山市彩航旅行社有限公司,四川省乐山市峨眉山市龚海路154号,L-SC-100161,8335562085,8335562085,614000,29.599245,103.491550
282,283,峨眉山第一山旅行社有限公司,四川省乐山市峨眉山市绥山镇绥山东路172号附11号,L-SC-100160,0833-5531843,0833-5531843,614000,26.513642,101.722440
283,284,攀枝花云米旅行社有限公司,四川省攀枝花市仁和区鑫华路25-3号附2-6号,L-SC-100162,3130070,8125790237,617000,30.839927,103.775483
284,285,四川上臾中国泡菜城旅游有限公司,四川省眉山市东坡区顺江大道北段眉山会展中心3楼,L-SC-100157,028-38018208,028-37358666,620000,30.023510,103.851441
285,286,成都市旅的旅行社有限公司,成都市高新区草池镇盘山村6组32号,L-SC-A00614,028-27305911,028-27305911,610000,30.519367,105.593940
286,287,四川德佶假期国际旅行社有限责任公司,四川省成都市武侯区洗面桥街9号2栋3单元7层6号、7号,L-SC-A00888,13438813270,,610000,30.636354,104.052714
287,288,成都峰寻无界旅游文化创意有限公司,中国（四川）自由贸易试验区成都高新区天府大道北段1700号2栋1单元14层1412号,L-SC-00890,028-60102858,028-60102856,610000,30.645293,104.116901
288,289,四川久硕旅居文化旅游开发有限公司,四川省成都市锦江区东华正街42号24层,L-SC-A00887,028-60153050,028-60153050,610000,30.569974,104.064083
289,290,成都涂下文化旅游有限公司,中国（四川）自由贸易试验区成都高新区天府大道北段1700号3栋2单元7层708号,L-SC-A00858,,,610000,30.570566,104.064930
290,291,四川启航之旅国际旅行社有限公司,四川省成都市金牛区蜀汉路426号1栋4单元23层5、6号,L-SC-A00886,,,610000,30.689042,104.017869
291,292,四川瑞禾世通旅行社有限公司,四川省成都市郫都区郫筒镇顺河路197号附201号1层,L-SC-A00885,,,610000,30.793880,103.886569
292,293,四川添福国际旅行社有限责任公司,中国（四川）自由贸易试验区成都高新区天府大道中段1388号1栋12层1280号,L-SC-A00884,13980850595,,610000,30.712518,104.028509
293,294,四川游走青春国际旅行社有限公司,成都市金牛区北三环路一段221号1栋2单元7层703、704号,L-SC-A00883,,,610000,30.699063,104.030342
294,295,四川玩多多国际旅行社有限公司,成都市金牛区花照壁西顺街388号4栋1单元26层2603号,L-SC-A00882,,,610000,30.717467,104.043389
295,296,四川甘御兰国际旅行社有限公司,四川省成都市金堂县赵镇金凤路555号11栋2层1号,L-SC-A00881,,,610000,30.534236,104.068383
296,297,四川欧克国际旅行社有限公司,成都市金牛区金府路799号2栋23层1号,L-SC-A00806,028-87785712,028-87789705,610000,30.854426,104.387053
297,298,四川哼哈旅行社有限责任公司,遂宁市河东新区五彩缤纷南路1号金科.美湖湾（D3地块）12栋3层1、2号,L-SC-100155,0825-6911629,0825-6911629,629000,31.192767,98.829670
298,299,四川沙鲁里山旅行社有限责任公司,四川省甘孜藏族自治州白玉县建设穆塔路10号,L-SC-100153,0836-8322101,0836-8322197,626700,30.504312,105.614521
299,300,成都芒果金旅旅行社有限公司,四川省成都市金牛区一环路北三段1号1栋2单元8楼802号,L-SC-A00879,28613673888,,610000,30.671596,104.002978
300,301,四川源途远文化旅游有限公司,成都市青羊区贝森北路5号1栋11层1101号,L-SC-A00880,028-86648277,028-86648277,610000,30.684356,104.075664
301,302,四川康怡时代旅行社有限公司,四川省德阳市洋河街269号御庭苑B、C、D栋1-17号、1-18号,L-SC-100152,0838-2312349,0838-2312349,618000,31.125353,104.418999
302,303,四川翱游客国际旅行社有限公司,四川省成都市温江区柳城街办学海路399号7栋附108号,L-SC-A00877,028-82613311,82613311,610000,26.598304,101.623599
303,304,四川心途风光国际旅行社有限公司,四川省成都市金牛区花照壁西顺街318号1栋3单元26层2607号,L-SC-A00878,13980920305,028-64638455,610000,30.812145,104.080423
304,305,四川立战国际旅行社有限责任公司,四川省成都市新都区斑竹园街道中利路169号3栋1单元18楼1805号,L-SC-A00873,,,610000,30.617637,104.083906
305,306,四川去吧国际旅行社有限公司,四川省攀枝花市西区苏铁中路411号,L-SC-100151,8125553755,8123150493,617000,30.809256,106.119691
306,307,南充市弘德研学旅行社有限公司,南充市顺庆区中航城三区11幢1层152号,L-SC-100149,13350630006,13350630006,637000,30.680914,103.814311
307,308,四川猫柠国际旅行社有限公司,四川省成都市武侯区高攀路2号25楼2504、2505号,L-SC-A00875,028-87014827,028-87014827,610000,30.634563,104.107438
308,309,四川享来国际旅行社有限公司,成都高新区天骄路153号附313号3楼,L-SC-A00870,028-61776867,,610000,30.699201,104.031830
309,310,四川美嘉莱国际旅行社有限公司,中国（四川）自由贸易试验区成都高新区吉庆三路333号1栋4单元6楼602号,L-SC-A00871,028-86628271,028-86628270,610000,30.506046,104.045588
310,311,四川寰宇四海旅行社有限公司,四川天府新区华阳街道通济桥下街172号、174号,L-SC-A00874,028-61052286,028-61052386,610000,30.553993,104.063804
311,312,柏美山野旅游服务（成都）有限公司,中国（四川）自由贸易试验区成都高新区益州大道北段777号1栋2单元11层1110号,L-SC-A00868,15089088008,2865273816,610000,30.581610,104.061099
312,313,四川万锋国际旅行社有限公司,成都市青羊区青羊大道97号1栋10层1002号,L-SC-A00869,028-87088835,,610000,30.643555,104.052179
313,314,四川巅峰时代旅行社有限公司,四川省成都市武侯区武侯祠大街30号1栋二楼,L-SC-A00872,13888632140,,610000,30.663068,104.007523
314,315,攀枝花市行在远方旅行社有限公司,攀枝花市东区临江路1号10楼,L-SC-100148,0812-3130073,,617000,26.577793,101.724472
315,316,德阳览胜旅行社有限公司,四川省德阳市旌湖西畔绵远街东口,L-SC-100147,0838-2201316,0838-2201316,618000,31.123310,104.389982
316,317,成都彤馨国际旅行社有限责任公司,四川省成都市成华区建兴路76号1栋16层4号,L-SC-A00859,028-60213608,028-60213609,610000,30.669099,104.041003
317,318,四川兵悦旅游管理有限责任公司,四川省成都市锦江区东大街芷泉段68号1栋33楼5号,L-SC-A00867,028-84398158,028-86119008,610000,30.670007,104.111338
318,319,四川省雅游风光国际旅行社有限责任公司,成都市金牛区一环路西三段1号1栋1单元8层802号,L-SC-A00800,86730633,86762346,610000,30.647075,104.087792
319,320,四川嘉天下国际旅行社有限公司,成都市武侯区高华横街33号1栋2单元17层1701号,L-SC-A00865,15928656181,,610000,30.639083,104.041712
320,321,成都滇山牛旅游有限公司,成都市武侯区高华横街33号1栋2单元10层1008号,L-SC-A00864,15102803130,,610000,31.490871,104.789981
321,322,四川七鸥鸥国际旅行社有限公司,四川省成都市成华区猛追湾街125号4楼2号,L-SC-A00866,028-64181506,028-64181506,610000,30.639083,104.041712
322,323,绵阳嘉途旅行社有限责任公司,四川省绵阳市游仙区仙人路一段32号绵阳职业技术学院大学科技园,L-SC-100143,0816-2218883,0816-2218873,621000,30.664129,104.098243
323,324,四川云旅旅游集团有限公司,四川省资阳市雁江区宝台镇迎宾大道会展中心2号楼2（F）6-1号,L-SC-100139,2826105332,2826836712,641300,31.464341,104.753873
324,325,绵阳愉逸游国际旅行社有限公司,四川省绵阳市涪城区泗水巷58号海赋外滩2-2-38号,L-SC-100144,0816-2788018,0816-2788018,621000,30.108895,104.678245
325,326,绵阳市欣晚游旅行社有限公司,四川省绵阳市安州区界牌镇龙集村,L-SC-100145,4581232,4581232,621000,30.705038,104.024914
326,327,四川纵游天下国际旅行社有限公司,四川省成都市金牛区金府路88号1栋1单元22楼2219，2220号,L-SC-A00861,2887650938,,610000,30.633475,104.028393
327,328,成都九寨乐多国际旅行社有限公司,成都市金牛区西安南路69号1幢3层19号-21号,L-SC-A00863,028-65212562,,610000,30.453721,106.594939
328,329,四川蜗牛国际旅行社有限公司,四川省成都市武侯区佳灵路3号2栋8层803号,L-SC-A00860,159,,610000,30.039123,103.831858
329,330,眉山三苏祠研学旅行有限公司,四川省眉山市东坡区沙縠行南段1号东坡金城6号楼2层8-15号,L-SC-100130,028-38233978,028-38233978,620000,31.520134,104.598478
330,331,广安云游旅行社有限公司,四川省广安市广安区枣山大道西段299号6幢1-60号,L-SC-100141,0826-3260518,0826-3260518,638500,30.666121,104.047243
331,332,四川驴哥旅行社有限公司,四川省自贡市自流井区丹桂大街527号,L-SC-100142,0813-6600000,0813-6600000,643000,30.639083,104.041712
332,333,四川游龙国际旅行社有限公司,成都市武侯区高华横街33号1栋2单元10楼1004号,L-SC-A00856,028-61106008,028-85569001,610000,30.683682,103.958032
333,334,成都游来游去国际旅行社有限公司,四川省成都市金牛区花照壁西顺街388号3栋1单元34层3408号,L-SC-A00857,028-84747088,028-84747088,610000,30.699013,104.029636
334,335,四川文轩行知研学旅行社有限公司,成都市青羊区敬业路218号20栋2层,L-SC-A00850,（028）85310572,（028）85310572,610000,29.337295,104.777182
335,336,广安心航旅行社有限公司,四川省广安市广安区金安大道上段58号,L-SC-100138,0826-2150876,0826-2150876,638500,30.466649,106.627946
336,337,四川众程国际旅行社有限公司,四川省南充市顺庆区惠泉路118号中南城一区4号楼4层3号4号,L-SC-100131,0817-2399951,0817-2399951,637000,30.805370,106.116102
337,338,四川憨豆国际旅行社有限公司,四川省南充市顺庆区人民中路2号14层,L-SC-100136,18784748055,0817-2589966,637000,30.625047,104.029230
338,339,成都简悦国际旅行社有限公司,成都市武侯区长益路13号1栋3单元15层1506号,L-SC-A00855,028-85108811,028-85108855,610000,30.684905,103.961604
339,340,四川立行研学旅行有限公司,成都市青羊区敬业路108号25栋1层,L-SC-A00841,028-87016888,,610000,30.792557,106.088792
340,341,广安众程旅行社有限公司,四川省广安市广安区金安大道一段199号金瑞国际综合体1栋商业187号1栋1116,L-SC-100134,8262555539,0826-2555538,638500,30.455731,106.636291
341,342,仁寿圣唐旅游有限公司,四川省眉山市仁寿县怀仁街道仁寿大道二段117号1幢13楼1302 号,L-SC-100133,028-36288131,028-36210973,620000,30.001612,104.160840
342,343,四川与吾同途国际旅行社有限公司,中国（四川）自由贸易试验区成都高新区益州大道中段1999号9栋2单元7层701号,L-SC-A00853,13219752669,028 87071583,610000,30.642528,104.038508
343,344,四川星空鱼文化旅游开发有限公司,四川省成都市武侯区七道堰街1号10层103号,L-SC-A00840,13408686851,028-85052935,610000,30.629294,104.024799
344,345,成都传祺旅行社有限公司,成都市青羊区日月大道一段978号3栋1单元4层427、428、429号,L-SC-A00854,028-60201044,,610000,30.676886,103.972687
345,346,四川北面山坡国际旅行社有限公司,成都市武侯区佳灵路20号1栋13层59号,L—SC-A00852,028-85035153,028-85035153,610000,30.540536,104.058724
346,347,四川天颢旅行社有限公司,"四川省遂宁市河东新区东平大道以北、东升路以南（D-02,03）号遂宁万达广场2栋第13层22号",L-SC-100129,0825-2932077,0825-2932077,629000,33.263497,104.235938
347,348,绵阳市凯途旅行社有限责任公司,九寨沟县南坪镇12号供销社1-1-7,L-SC-100132,5743289,5772719,624000,30.601990,103.985539
348,349,四川九州牧歌国际旅行社有限责任公司,四川省成都市武侯区智达二路58号3栋10层1014号,L-SC-A00851,028-86033619,,610000,30.631695,103.670564
349,350,成都万有旅行社有限公司,崇州市崇阳街道大东街20号西楼1层3号,L-SC-A00831,1388025333313350000000,,610000,31.492202,104.695908
350,351,四川金敏和泽研学旅行服务有限公司,绵阳科创区创新中心2号楼210室,L-SC-100127,2972722,2254353,621000,30.528227,105.594254
351,352,四川心智远国际旅行社有限责任公司,成都市金牛区西安南路69号1栋3层26、27号,L-SC-A00847,028-87676915,028-87670279,610000,30.665523,104.046870
352,353,四川盈科美辰国际旅行社有限公司,成都市青羊区青华路10号3层1号,L-SC-A00843,18030686792,86782580,610000,30.556808,104.275360
353,354,四川九九之旅国际旅行社有限公司,四川省成都市锦江区东大路318号1幢2单元14楼1406号,L-SC-A00849,028-84555432,,610000,30.633382,104.110215
354,355,四川随心游国际旅行社有限公司,四川省成都市龙泉驿区十陵街道灵龙路1号5栋附204、205、207、208号,L-SC-A00846,028-67841473,,610000,30.566856,104.060789
355,356,四川灰狗乐途国际旅行社有限责任公司,四川省成都市龙泉驿区十陵街道来龙村11组339号406室,L-SC-A00824,2884609632,,610000,30.662671,104.034577
356,357,四川省匠印国际旅行社有限公司,中国（四川）自由贸易试验区成都高新区天府大道北段20号1栋7楼1、2号,L-SC-A00837,028-87641001,028-87641001,610000,30.546651,106.639339
357,358,广安邓园故里行旅行社有限公司,四川省广安市广安区协兴镇牌坊路99号13幢,L-SC-100123,0826-2412333,0826-2412333,638500,30.625176,104.030689
358,359,四川驿麒旅游发展有限公司,成都市武侯区长益路13号1栋1单元11层1102号,L-SC-A00842,18848408070,85533376,610000,30.614832,104.004430
359,360,四川省星觅游国际旅行社有限公司,成都市武侯区聚龙路68号1栋6层70号,L-SC-A800844,85480850,85480850,610000,29.351368,104.791343
360,361,中旅泸州老窖文化旅游发展有限公司,中国（四川）自由贸易试验区川南临港片区安宁街道云台社区金带路9号16号楼附68号,L-SC-100124,8302393388,8302393388,646000,28.914084,105.425846
361,362,四川途观旅游发展有限公司,四川省自贡市自流井区鸿鹤路228号东源半岛14号楼,L-SC-100121,(0813)8129449,(0813)2616615,643000,30.640987,104.139251
362,363,四川私嘉国际旅行社有限公司,成都市成华区建材路11号2栋1层,L-SC-A00839,15308045616,028-87712366,610000,30.667001,104.164759
363,364,四川夏日假期旅行社有限公司,成都高新区神仙树西路3号1栋14楼22、23号,L-SC-A00838,,,610000,31.680864,103.851491
364,365,成都畅游西行客旅行社有限责任公司,成都市青羊区光华北三路98号18栋14层1402号,L-SC-A00836,85779259,87313167,610000,30.620572,104.045452
365,366,四川圣洁星辰国际旅行社有限公司,四川省阿坝藏族羌族自治州茂县凤仪镇中心大道(茂县民族贸易有限公司商住楼) 3幢503号,L-SC-100119,13688355715,0837-6951668,624000,31.579080,105.980554
366,367,四川康尔乐旅行社有限公司,四川省南充市阆中市保宁办事处公园路63号,L-SC-100118,8175236055,8175236055,637000,30.783280,106.103149
367,368,南充人人乐老玩童旅行社有限公司,四川省南充市高坪区环塔路59号,L-SC-100116,3456966,3456966,637000,30.671425,103.963716
368,369,四川心飞扬旅行社有限责任公司,四川省成都市天府新区华阳街道正北中街25号附20、21、22、23、24号1层,L-SC-A00834,,,610000,30.510326,104.057869
369,370,四川昆仑万途文化旅游有限公司,成都市锦江区大业路39号22楼8号,L-SC-A00763,028-8523,无,610000,30.653546,104.069377
370,371,四川华曼国际旅行社有限公司,成都高新区九兴大道9号2栋1单元1104室,L-SC-A00833,028-82070777,028-82339201,610000,30.584071,104.022017
371,372,中电建商旅旅行社成都有限公司,成都市青羊区浣花北路1号33栋（D座）D0101、D0103、D0104,L-SC-A00830,,,610000,30.664491,104.036791
372,373,四川柒禧研游旅行社有限公司,四川省成都市武侯区聚龙路68号1栋11层33号、34号,L-SC-A00823,,,610000,30.614807,104.004260
373,374,盐源县君行旅行社有限公司,四川省凉山彝族自治州盐源县盐井镇太安村1组87号,L-SC-100114,18009018563,6362461,615000,27.427675,101.534505
374,375,四川中道旅游产业发展股份有限公司,成都市天府新区籍田镇新华路1段118号,L-SC-A00828,028-86041650,028-86041650,610000,30.632599,104.027328
375,376,成都自由鸟文化旅游发展有限责任公司,成都市武侯区佳灵路5号1栋14层1406号,L-SC-A00829,,,610000,28.742922,104.625213
376,377,四川新川澜国际旅行社有限责任公司,四川省宜宾市叙州区财富路31号4栋1单元26层2号,L-SC-100111,0831-5957281,0831-5957281,644000,30.313706,104.027280
377,378,四川华运国际旅行社有限公司,四川省成都市锦江区一环路东五段46号1栋1单元13层22号,L-SC-A00825,028-83576301,,610000,30.644271,104.092018
378,379,四川道承天下旅行社有限公司,成都市武侯区科华北路65号四川大学科研综合楼（世外桃源广场）A座5层第2号,L-SC-A00827,15988038111,,610000,30.660283,104.054508
379,380,四川与行假期国际旅行社有限公司,成都市青羊区横小南街8号1栋1单元12楼8号,L-SC-A00822,028-87700538,,610000,30.630280,104.076823
380,381,四川领趣前行旅行社有限公司,四川省成都市武侯区二环路南一段13号5层504号,L-SC-A00821,15828075715,,610000,30.683877,104.043987
381,382,四川万和假期国际旅行社有限公司,成都市金牛区乡农寺51-129号B-1幢3层301号,L-SC-A00819,86980800,86980600,610000,30.408370,103.813396
382,383,四川省鹊程旅行社有限公司,四川省绵阳市三台县潼川镇西外街22,L-SC-100110,0816-7110885,0816-7110885,621000,30.531351,104.198388
383,384,成都市落安国际旅行社有限公司,成都市武侯区武侯电商产业功能区管委会金履二路167号3栋3楼301,L-SC-A00816,,,610000,31.086532,105.085105
384,385,成都同旅旅行社有限责任公司,四川省成都市金牛区金牛区人民北路二段188号1栋19楼1909-1910号,L-SC-A00814,,,610000,30.690240,104.073322
385,386,四川省大视界旅行社有限责任公司,成都市金牛区银杏路2号1栋14层3.4号,L-SC-A00815,87712577,87677500,610000,30.711840,104.000271
386,387,四川走途国际旅行社有限公司,成都金牛高新技术产业园区兴盛西路2号4幢10楼17号,L-SC-A00799,13888100116,,610000,30.673605,104.039680
387,388,四川红鹤仙子旅行社有限公司,成都市双流区西航港街道临港路一段32号2栋10层1号（成都东航中心T2号楼10层1005单元）,L-SC-A00813,028-85830831-8013,028-85830831-8012,610000,30.659725,104.076544
388,389,成都有领国际旅行社有限公司,四川省成都市锦江区暑袜北二街56号19楼4号,L-SC-A00788,028-87318677,,610000,30.672652,104.048096
389,390,成都蜀游天下国际旅行社有限公司,成都市金牛区槐树街86号1栋8楼附807号,L-SC-A00811,15928867681,,610000,30.702016,104.023031
390,391,四川省中游通国际旅行社有限公司,成都市金牛区茶店子西街36号1栋2单元25层2517号,L-SC-A00810,028-87604922,,610000,30.625221,104.029943
391,392,西亚途国际旅行社成都有限公司,成都市武侯区长益路13号1栋2单元5层504号,L-SC-A00809,,,610000,31.122095,104.389230
392,393,四川顶峰国际旅游有限公司,四川省德阳市庐山北路477号德阳希望城1栋D-9-4,L-SC-100108,8382555071,8382555071,618000,30.603303,104.068548
393,394,四川敢探号国际旅游有限公司,四川省德阳市旌阳区龙山街16号,L-SC-100107,0838-8301666,0838-8301666,618000,31.151292,104.416698
394,395,盐源滇川之旅旅行社有限责任公司,四川省凉山彝族自治州盐源县盐井镇鱼脊梁村8组57号,L-SC-100106,13734939839,13734939839,615000,27.426081,101.483552
395,396,四川步旅国际旅行社有限公司,中国（四川）自由贸易试验区成都高新区天仁路387号2栋9层902号,L-SC-A00808,028-85939944,,610000,29.038488,100.299898
396,397,稻城县顺风户外旅行社有限公司,四川省甘孜藏族自治州稻城县金珠镇新区A栋1单元12号,L-SC-V00014,,/,626700,30.660283,104.054508
397,398,四川爱尚爱旅游有限公司,四川省成都市青白江区大弯同华大道199号10栋2单元20楼2012、2013号,L-SC-A00807,028-64385282,028-64385282,610000,30.882854,104.271140
398,399,四川享隆国际旅行社有限公司,成都高新区府城大道中段88号1栋15层3号,L-SC-A00591,2866006666,,610000,30.665830,104.122312
399,400,四川省乐观天下旅行社有限公司,成都市青羊区横小南街8号1栋1单元11楼18号,L-SC-A00785,028-87333538,028-87333538,610000,30.589767,104.065348
400,401,四川省川行纪国际旅行社有限公司,四川省成都市成华区成华大道杉板桥路333号1栋1单元12层7号,L-SC-A00784,2862051828,,610000,30.670152,103.963397
401,402,成都乐友涉川国际旅行社有限公司,成都市青羊区光华北三路98号16栋14楼7号,L-SC-A00782,,,610000,30.620348,103.996510
402,403,成都夕游记旅游有限公司,成都市武侯区万兴路477号7栋1单元5层518号,L-SC-A00798,028-87018175,,610000,30.679304,104.080981
403,404,四川可乐国际旅行社有限公司,成都市高新区九兴大道14号1栋1单元15楼1501号,L-SC-A00805,028-87053904,,610000,30.576877,104.060407
404,405,成都简凡旅行社有限公司,成都市金牛区解放路二段329号,L-SC-A00801,028-83270452,028-83270452,610000,30.622020,104.037338
405,406,四川走鸭国际旅行社有限公司,中国（四川）自由贸易试验区成都高新区锦城大道666号2栋7层1号,L-SC-A00796,19141075107,,610000,30.495450,104.058800
406,407,成都蓝色星球国际旅行社有限公司,四川省成都市天府新区华阳南湖路18号3栋402,L-SC-A00803,028-82735021,,610000,30.583035,104.050961
407,408,四川小趣国际旅行社有限公司,中国（四川）自由贸易试验区成都高新区交子大道88号1栋19层1905号,L-SC-A00804,,,610000,30.625379,104.037623
408,409,四川省魅力巴蜀国际旅行社有限公司,成都市金牛区金府路799号2栋23层7号,L-SC-A00802,028-89548533,,610000,30.717504,104.043206
409,410,四川发烧友国际旅行社有限责任公司,成都高新区科园二路10号3栋2单元17层2号,L-SC-A00797,028-85586546,,610000,30.676126,103.973183
410,411,巴中市友缘旅行社有限责任公司,四川省巴中市巴州区红军路400号1栋4单元5楼2号,L-SC-100102,0827-3335886,0827-3335686,636000,29.609822,103.727853
411,412,成都旭毅旅行社有限公司,成都市青羊区日月大道一段978号2栋1单元12层1228、1229号,L-SC-A00792,028-67140373,028-86093991,610000,30.714791,104.002031
412,413,乐山藏地密码旅行社有限公司,乐山市市中区春华路西段797号11幢10楼12号,L-SC-100101,8332432015,8332432015,614000,30.781421,103.861405
413,414,成都酷游国际旅行社有限公司,成都市金牛区盛业路433号3栋14层12号,L-SC-A00793,028-62607916,028-86650119,610000,31.855271,106.749667
414,415,四川兵旅戎创旅游服务有限公司,成都市郫都区德源镇（菁蓉镇）红旗大道北段179号梦翔大厦二楼16号,L-SC-A00794,2887888781,2887888781,610000,30.676491,103.997957
415,416,四川足博仕国际旅行社有限公司,成都市青羊区清江西路51号1栋1单元17层1701号,L-SC-A00795,2862010777,2862010777,610000,30.639083,104.041712
416,417,四川新圣境国际旅行社有限责任公司,成都市武侯区高华横街33号1栋2单元14层1410号,L-SC-A00791,62631975,85576979,610000,27.871594,102.260354
417,418,凉山好马儿国际旅行社有限公司,四川省凉山彝族自治州西昌市城南大道金华路89号1幢1层12号,L-SC-100100,0834-2561988,0834-2561988,615000,31.213997,107.494771
418,419,南充顺发文化旅游有限公司,四川省南充市顺庆区文明街200号,L-SC-100096,8172270046,8172270046,637000,30.780213,106.083813
419,420,成都悦度旅行社有限公司,四川省成都市龙泉驿区龙泉街道翠龙街66号10层附1011号,L-SC-A00790,028-83470868,028-83470868,610000,30.569120,104.240233
420,421,达州市青年旅行社有限公司,四川省达州市通川区荷叶街39号1、2、3号门市,L-SC-100099,2144908,2153721,635000,28.885982,105.428509
421,422,四川高鼎国际旅行社有限公司,成都市金牛区一环路北一段99号1栋4层7号,L-SC-A00775,(028）87767381,(028）87767381,610000,30.683174,104.048639
422,423,泸州神望旅游开发有限公司,四川省泸州市龙马潭区杜家街22幢正一层15-17号区,L-SC-100098,2882909,2882313,646000,26.594604,101.573735
423,424,攀枝花市景辉旅游有限公司,四川省攀枝花市西区格里坪七组55号附1号,L-SC-100097,18681285570,5552266,617000,32.975327,98.097595
424,425,太阳部落旅行社,四川省甘孜州石渠县尼呷镇,L-SC-V00030,0836-8622606,,626700,29.993890,100.269475
425,426,九龙县伍须海旅行社有限公司,甘孜州九龙县呷尔镇团结下街21号,L-SC-V00013,13558505288,无,626700,30.050168,101.963176
426,427,理塘县康缘之旅旅行社有限责任公司,四川省甘孜州理塘县高城镇团结路北段9号,L-SC-V00024,8365320444,0566-2820918,626700,29.989817,100.274416
427,428,格聂行者之家旅行社,四川省甘孜州理塘县平安路27号,L-SC-V00017,8365322655,8365322655,626700,29.001023,101.507226
428,429,甘孜州圣地畅达国际旅行社有限责任公司,康定市光明路1号,L-SC-V00031,0836-2871999,0836-2871444,626700,31.807693,98.580376
429,430,德格雀儿山旅行社有限公司,四川省甘孜藏族自治州德格县更庆镇格萨尔大街,L-SC-5100020,0836-8226666,无,626700,28.874816,105.446641
430,431,白玉县热鲁雪山旅行社有限责任公司,四川省甘孜州白玉县建设镇河东上街32号,L-SC-V00028,0836-8326222,0836-8326222,626700,31.199414,98.831707
431,432,泸州乙丙旅行社有限公司,泸州市江阳区江阳南路8号楼1层7号门市（自主申报）,L-SC-100095,0830-2281818,0830-3108825,646000,28.312327,105.218586
432,433,四川晏来旅行社有限责任公司,四川省宜宾市兴文县古宋镇光明新城苗城印象5号楼5-2-1、5-3-1,L-SC-100093,0831-8916666,0831-8918966,644000,29.578718,103.448159
433,434,峨眉山市菁弘旅游服务有限公司,峨眉山市黄湾小镇铁佛坊燕青街17号3栋2单元1-2,L-SC-100094,13881386609,5058999,614000,30.690861,104.045492
434,435,四川众城假期国际旅行社有限公司,金牛区金沙北二路41号附5号1栋27层2708号,L-SC-A00776,87356818,87547578,610000,30.668560,104.071368
435,436,四川途友国际旅行社有限公司,四川省成都市双流区西航港街道珠江路600号4栋16层1615号,L-SC-A00780,028-85770922,,610000,30.669078,104.026161
436,437,成都五月阳光国际旅行社有限公司,成都市青羊区清江东路59号甲幢瑞光大厦3楼,L-SC-A00779,028-86955331,028-86955331,610000,30.572130,104.009196
437,438,开心走旅游（成都）有限公司,成都市青羊区顺城大街308号/（栋）E、F单元35层E、F号,L-SC-A00777,028-65365888,028-87635411,610000,33.243902,104.246837
438,439,九寨沟县世游旅行社有限责任公司,九寨沟县永乐镇九寨花园A区三单位202号,L-SC-100090,0837-7733610,0837-7733610,624000,30.601189,104.071823
439,440,四川省硕博研学旅行社有限公司,四川省南充市顺庆区富民街85号,L-SC-100092,17723569572,15984891088,637000,26.582971,101.714039
440,441,四川康世盛泰旅游有限责任公司,成都高新区天仁路259号1栋7层718号,L-SC-A00774,028-86049970,028-86049970,610000,30.789356,106.081460
441,442,四川万咛旅行社有限公司,攀枝花市东区人民街19-27号附401#,L-SC-100089,8122222007,8122222007,617000,30.529922,105.595533
442,443,遂宁同业旅行社有限公司,四川省遂宁市河东新区香林南路298号遂宁万达广场2栋25层27号28号,L-SC-100088,8252260109,8252222040,629000,26.907554,102.121318
443,444,四川深呼吸旅行社有限责任公司,四川省攀枝花市米易县草场镇迎宾大道2号,L-SC-100087,0812-8139231,0812-8170399,617000,31.061868,104.387598
444,445,德阳德汽旅行社有限公司,四川省德阳市泰山南路三段379号,L-SC-100086,8382600857,8382201099,618000,30.708943,104.067123
445,446,成都悦尚旅行社有限公司,成都市青羊区北大街19号3栋6层609号、610号,L-SC-A00773,028-6717,028-8591 6109,610000,30.672764,104.077169
446,447,四川悦享时光国际旅行社有限公司,成都市金牛区五块石路12号北城盛世1栋1105号,L-SC-A00772,028-83275725,028-87700621,610000,31.459769,104.758518
447,448,绵阳海川国际旅行社有限公司,四川省绵阳市涪城区小北街7号富临外滩花园商业C区2楼1号,L-SC-100085,2392111,2245589,621000,30.682925,104.032115
